BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRANCH,Albany Park,Altgeld,Archer Heights,Austin,Austin-Irving,Avalon,Back of the Yards,Beverly,Bezazian,Blackstone,Brainerd,Brighton Park,Bucktown-Wicker Park,Budlong Woods,Canaryville,Chicago Bee,Chicago Lawn,Chinatown,Clearing,Coleman,"Daley, Richard J.","Daley, Richard M.",Douglass,Dunning,Edgebrook,Edgewater,Gage Park,Galewood-Mont Clare,Garfield Ridge,Greater Grand Crossing,Hall,Harold Washtington Library Center,Hegewisch,Humboldt Park,Independence,Jefferson Park,Jeffery Manor,Kelly,King,Legler Regional,Lincoln Belmont,Lincoln Park,Little Italy,Little Village,Logan Square,Lozano,Manning,Mayfair,McKinley Park,Merlo,Mount Greenwood,Near North,North Austin,North Pulaski,Northtown,Oriole Park,Portage-Cragin,Pullman,Roden,Rogers Park,Scottsdale,Sherman Park,South Chicago,South Shore,Sulzer Regional Library,Thurgood Marshall,Toman,Uptown,Vodak-East Side,Walker,West Belmont,West Chicago Avenue,West Englewood,West Lawn,West Loop,West Pullman,West Town,"Whitney M. Young, Jr.",Woodson Regional Library,Wrightwood-Ashburn
JANUARY,9878,2730,6620,9335,7867,8908,3226,2881,9959,7216,2455,3894,10699,10069,2493,1905,2301,19325,4334,6541,4565,10899,0,7328,7485,15208,2058,1591,5282,4210,4885,104255,3017,4846,5491,5270,3563,5448,2904,0,12707,11563,10850,5288,12501,10498,7161,3412,6531,0,3582,10765,3864,3209,0,7781,5365,3775,736,11997,3190,2698,6489,0,29483,6199,4196,10289,1319,0,3816,7252,5207,4880,7440,8338,9179,8004,16492,3849
FEBRUARY,9473,1809,5803,9562,7380,7616,3246,2843,9130,6828,2279,3562,9981,9802,2555,2577,5013,14701,4137,6593,4210,11767,0,7572,6533,13339,1942,1375,4928,3399,4729,102202,2785,4760,5189,4718,3191,5301,3518,0,11844,11031,10504,4917,11545,9411,6683,2898,5301,0,2222,9489,3893,2994,13474,6343,5073,3410,3742,11407,3210,2403,6023,0,27624,7924,4295,10115,4556,0,4175,5970,4909,4682,6686,7884,8264,7119,16461,3526
MARCH,5077,1127,4045,5390,4222,4437,1848,1537,6567,3628,1522,2639,5663,8101,1355,1414,3568,10222,3327,4032,2989,7358,0,4237,4488,16636,1311,634,3215,2046,6570,75066,2064,6954,2275,2997,2427,3274,1960,0,6818,13002,3401,3508,6711,6806,0,2123,3513,0,1233,6197,1597,2029,7864,3920,6851,2215,5078,6878,2501,1780,3457,0,14313,4089,3589,6286,3103,0,7177,3967,3212,3255,3575,7611,5392,10619,14015,2341
APRIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUNE,3188,0,2697,1838,1972,2713,1643,1119,2147,309,707,561,2034,3299,0,527,1905,1884,3125,2399,1503,5363,388,3678,3775,5031,0,0,2448,673,2322,23673,1378,947,1965,2835,2145,360,65,0,4330,4139,2996,614,4243,1945,0,696,3604,0,1267,4539,594,444,5612,1616,1662,725,2337,4655,1742,1290,2055,0,9709,1579,1121,3292,2814,0,1076,542,1557,538,2387,649,3076,1010,2238,1371
JULY,4156,0,3767,3614,2810,3939,1652,1360,2596,0,494,1346,3654,5719,0,479,3726,3375,3251,3196,1887,5653,1230,4873,5091,7816,0,0,2899,1085,2951,36325,1832,2441,2776,3551,2561,610,1260,0,5711,5547,3099,1443,6795,3316,0,1393,4401,0,1468,6207,1260,1013,9002,2382,2497,2492,3306,7428,2531,2118,2827,389,14281,2345,2017,4855,2295,147,2310,832,2192,891,3372,1267,3349,1639,4817,1881
AUGUST,4566,0,3754,4584,2823,4140,1810,2003,2802,0,600,1323,4991,6141,0,540,3706,4147,3085,3624,2104,5363,756,6846,4750,7342,0,0,2941,1150,2806,35144,1857,3156,2622,2569,2678,857,1438,0,4372,5466,2300,1652,8731,3001,0,1833,4118,0,1437,6005,1528,2274,9342,2927,3058,1654,1621,7724,2536,2380,3213,1086,14330,3327,1956,4682,2861,547,2471,873,2483,1288,3462,1529,1767,2376,5088,2190
SEPTEMBER,4295,0,3737,4122,5558,3933,1820,1442,2700,0,686,1174,4948,5455,0,590,2917,4159,2800,3334,2298,6430,568,6185,4749,5542,0,0,2865,1280,2718,44570,1698,3432,2865,2661,3099,736,1588,0,3794,4993,2087,1762,7027,3204,0,1751,4015,0,1387,6181,1448,2178,9046,3467,3013,0,2654,9067,2210,1611,3161,1097,14172,3186,1780,4650,1889,480,2451,851,2437,1391,2902,1673,5587,2541,5260,1830
OCTOBER,4272,0,3999,3932,6360,3899,1870,1753,2787,0,726,1638,5154,5560,0,612,3224,4854,2300,3692,2744,7365,919,5341,4559,8189,0,0,2957,1521,2974,51962,1998,4809,2998,3458,2876,814,1585,0,2242,6030,1240,1893,0,4051,0,1971,3820,0,1709,6109,1403,2259,7657,3263,3049,0,3238,8118,2710,755,3210,1262,15367,3231,2010,5061,1849,765,3088,835,2533,1548,3051,1966,6650,1505,5900,1750
NOVEMBER,3727,0,3198,3152,2820,3575,1503,1348,2265,140,559,1194,4552,5100,0,506,2730,3129,2035,3370,2211,6105,663,4086,2329,5950,0,0,2413,1128,406,40119,961,3148,2025,2832,1811,664,1290,0,3484,4960,2886,1430,4890,3390,0,1530,2851,0,1448,4796,1192,1795,5881,3626,2182,1149,2448,3129,1835,1560,2064,894,12640,2072,1526,3941,1912,263,2186,620,1836,1055,2424,1184,4183,1988,4322,1245
DECEMBER,3567,0,3229,2923,2737,2083,1398,1136,413,1954,580,1139,4813,5095,0,523,2529,3176,1894,3356,1559,6099,512,4224,3798,6397,0,0,2337,1043,0,41058,1332,2786,1716,2452,1697,582,1294,108,2436,5009,1570,1332,6146,2148,0,1348,610,0,1455,4860,1128,1567,6184,3289,2357,1729,2791,5314,1935,1612,0,387,13600,2055,1267,4365,2053,404,1979,595,1810,1041,2568,1160,3107,1330,3773,1355
