BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location,Longitude,Latitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY,7552,3959,737,4296,3052,3614,3473,2642,4027,7152,1082,3130,3646,3924,1275,1033,3964,16491,480,2529,4445,4013,499,6047,5878,8299,1879,0,4791,4183,3310,39548,1150,2404,3366,4369,1946,2901,1640,3090,7509,7933,8675,3665,10463,4079,4068,2901,5816,8442,2433,6868,1831,2774,6293,4954,7057,3481,4589,10224,3258,1107,3119,2536,20137,3694,2992,7734,2704,1488,4201,3677,1623,2582,3832,5188,2817,6577,2262,6216,1851
JUNE,7332,4839,3666,4550,3337,4085,3604,3185,4123,8224,1318,3435,4386,4781,1470,1100,4481,17259,2635,2989,5410,3825,1840,5838,8215,10364,2284,0,6500,2276,3362,33618,1540,3300,4041,5264,1618,3041,1814,3437,9024,9466,8005,3909,11429,4545,3629,3161,6729,8532,2871,7742,1924,2870,7129,5167,3908,3371,5143,9638,3596,1210,3391,2395,21418,4127,2821,8123,4074,1554,4448,4000,1650,2756,4555,5595,3351,5989,3477,6921,2193
JULY,6618,2810,3413,5270,3155,4342,3501,3346,4285,8345,1394,3462,4419,5295,1485,1148,4509,19667,550,3520,5723,4189,1788,6034,7425,10292,2555,0,5543,1640,3248,37799,1351,3144,3538,5304,1267,3129,1461,60,9467,9396,8511,4682,12997,4504,3954,3045,6146,8912,2322,7949,2089,3003,7137,5096,3897,4103,5997,8650,3541,1442,3409,2581,21126,3926,2914,7872,4631,1573,4952,3759,2017,2970,4326,6143,3209,6849,4312,6748,2094
AUGUST,7312,3906,3636,7198,0,4300,3189,3131,4612,8946,1426,3747,4570,4429,1644,1295,4875,18550,1185,3178,5372,5086,2003,5665,5457,9628,2322,0,4764,2844,3163,44128,1313,3394,3701,6179,1467,3338,1567,0,9555,9481,8879,4318,13051,4648,4391,3071,5622,9081,2028,8459,1923,3142,6992,5586,4176,4031,7676,6350,3569,1758,3614,3062,23377,4409,2353,8438,4231,1794,5309,4054,2266,3838,3932,6282,3652,7308,4933,5972,2495
SEPTEMBER,7565,3223,3355,6241,0,4234,3831,2884,4098,8389,1144,3079,4285,4389,1425,1515,4097,16308,1760,2674,5030,3251,2240,5731,4438,11368,2017,0,4868,4226,3029,37575,1143,3111,3298,5462,1653,2365,1538,0,8695,8851,8638,4519,11696,4540,4727,2763,5208,8533,2077,7779,1613,2878,7298,5239,4221,3145,5211,9825,2927,1167,3754,2748,22103,3973,2158,7724,3645,1426,4677,3900,1700,3353,4032,5845,3140,6849,3916,6642,1762
OCTOBER,8259,3314,4205,6725,4253,4408,3369,2952,3935,7709,1136,3741,4448,4516,1780,1831,4842,16745,1805,2055,4858,4891,2135,5593,4659,5796,2519,0,4837,2433,3238,36504,1128,3181,3953,5379,1559,2959,1624,0,9837,8162,8827,4565,12034,5411,4486,2796,6846,8466,2904,7921,1688,3182,6864,5666,4366,3910,6357,11875,3502,1542,3661,2952,22543,4329,2989,8651,4710,2046,4813,3712,1882,679,3918,6093,2452,7390,1085,7847,2077
NOVEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-87.71406101,-87.5985899,-87.72667803,-87.76581398,-87.77955502,-87.58626297,-87.67814396,-87.67214897,-87.66075202,-87.590339,-87.65773998,-87.70319504,-87.68035201,-87.69633202,-87.64259698,-87.62622998,-87.70353903,-87.63212899,-87.78226497,-87.60683501,-87.64646498,-87.70645903,-87.70967805,-87.81379976,-87.76208696,-87.66070097,-87.69417704,-87.79731648,-87.78021903,-87.60042402,-87.62227598,-87.62839402,-87.54892896,-87.70530602,-87.72033503,-87.76198697,-87.565532,-87.63724899,-87.61740245,-87.725277,-87.67089303,-87.65814801,-87.66052296,-87.70483496,-87.70349402,-87.66092997,-87.679589,-87.73819502,-87.67359301,-87.64621897,-87.70122102,-87.63657903,-87.76889701,-87.73398202,-87.69042597,-87.81385402,-87.75493603,-87.61795897,-87.79802001,-87.67335866,-87.72458197,-87.65514603,-87.54953598,-87.56371799,-87.68438999,-87.65437699,-87.72487299,-87.65421103,-87.53353099,-87.67380298,-87.62349999,-87.78619902,-87.74799497,-87.668385,-87.72380899,-87.65475703,-87.64309696,-87.66850201,-87.61424603,-87.64280402,-87.70250404
Latitude,41.97544701,41.65721704,41.80089199,41.88902598,41.95319599,41.74633099,41.80798098,41.721352,41.97158198,41.80583999,41.73252902,41.815067,41.91256002,41.98337302,41.81648899,41.82817399,41.78196699,41.85376201,41.77645798,41.780135,41.83263798,41.89468774,41.86448271,41.94328893,41.99712701,41.99115201,41.79344102,41.92109135,41.79298999,41.76256402,41.80719602,41.87631399,41.65940898,41.91045499,41.95412998,41.96736199,41.71323702,41.781998,41.83221959,41.879315,41.94032398,41.92559702,41.8694282,41.84955199,41.92508501,41.85762201,41.88105701,41.968392,41.83017199,41.94032,41.69315,41.90413901,41.90961202,41.91014301,42.00547501,41.97838398,41.93894499,41.69437199,41.99215398,42.00678559,41.74917502,41.79484801,41.73037902,41.76244902,41.96275701,41.75737499,41.842067,41.95820099,41.70295699,41.69220599,41.89724402,41.93673699,41.895321,41.77907901,41.77890801,41.88378499,41.67808202,41.895782,41.75093501,41.72086698,41.73764801
