BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location,Longitude,Latitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Pullman,830 W. 119th St.,Chicago,60643,2432,8510,7576,5448,2817,3351,3209,3652,3140,2452,,,42587,POINT (-87.643096963 41.678082017),-87.64309696,41.67808202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Town,1625 W. Chicago Ave.,Chicago,60622,6684,6765,8422,7309,6577,5989,6849,7308,6849,7390,,,70142,POINT (-87.668502008 41.895782003),-87.66850201,41.895782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1976,3628,4051,4577,2262,3477,4312,4933,3916,1085,,,34217,POINT (-87.614246033 41.750935005),-87.61424603,41.75093501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,4608,5169,7259,7072,6216,6921,6748,5972,6642,7847,,,64454,POINT (-87.642804015 41.720866981),-87.64280402,41.72086698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1625,12146,6312,4074,1851,2193,2094,2495,1762,2077,,,36629,POINT (-87.702504037 41.737648012),-87.70250404,41.73764801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRANCH,Albany Park,Altgeld,Archer Heights,Austin,Austin-Irving,Avalon,Back of the Yards,Beverly,Bezazian,Blackstone,Brainerd,Brighton Park,Bucktown-Wicker Park,Budlong Woods,Canaryville,Chicago Bee,Chicago Lawn,Chinatown,Clearing,Coleman,"Daley, Richard J.","Daley, Richard M.",Douglass,Dunning,Edgebrook,Edgewater,Gage Park,Galewood-Mont Clare,Garfield Ridge,Greater Grand Crossing,Hall,Harold Washtington Library Center,Hegewisch,Humboldt Park,Independence,Jefferson Park,Jeffery Manor,Kelly,King,Legler Regional,Lincoln Belmont,Lincoln Park,Little Italy,Little Village,Logan Square,Lozano,Manning,Mayfair,McKinley Park,Merlo,Mount Greenwood,Near North,North Austin,North Pulaski,Northtown,Oriole Park,Portage-Cragin,Pullman,Roden,Rogers Park,Scottsdale,Sherman Park,South Chicago,South Shore,Sulzer Regional Library,Thurgood Marshall,Toman,Uptown,Vodak-East Side,Walker,Water Works,West Belmont,West Chicago Avenue,West Englewood,West Lawn,West Loop,West Pullman,West Town,"Whitney M. Young, Jr.",Woodson Regional Library,Wrightwood-Ashburn
JANUARY,6565,3342,3282,3335,3165,3345,2440,2724,3766,6396,762,2346,3662,3641,1228,881,3320,12943,1095,2221,1754,3948,2281,5224,5774,8408,1715,0,4670,2850,2360,31440,1245,2134,3638,3187,920,2361,1208,2745,7534,9102,7679,2402,10711,3697,3272,1585,4587,8024,2044,6661,1632,2612,6176,4896,4569,2874,4217,6634,2976,964,3160,1736,19382,3169,2431,6937,2632,1090,3786,3469,1291,2120,2769,5796,2432,6684,1976,4608,1625
FEBRUARY,7308,3529,6377,3313,3462,3417,2529,2792,3742,6111,1023,3629,5151,6962,1290,1022,3687,12093,630,1750,2150,4199,1605,5559,5827,8676,1511,0,4862,2852,2208,34144,1501,4843,4542,2839,1797,2276,1333,2781,7608,13927,7318,3042,9805,5999,3333,2201,7009,12599,297,11052,1472,2322,10135,4824,7520,3466,13491,7712,3537,1225,2950,2083,19383,5731,3178,6885,3316,1914,3634,7391,1499,2508,3212,5291,8510,6765,3628,5169,12146
MARCH,6554,4242,6239,4077,3438,4169,3529,3527,4305,8340,1033,4285,5208,6465,1720,1216,4129,16430,610,1802,3544,5000,1818,5898,6259,9075,3794,0,5640,3992,3020,37003,1511,2767,4108,3345,1731,2598,1377,3538,8966,14045,8778,3836,12323,5354,3536,2908,7157,13585,1227,11254,1880,2771,9397,5486,9359,3866,13435,11081,3839,1200,3729,2268,22779,6439,2881,7865,3622,2029,4445,6795,2886,2557,3589,6469,7576,8422,4051,7259,6312
APRIL,7159,4346,2610,4028,3240,3917,3525,2989,4302,7206,1397,4267,5988,5755,1420,1197,4358,16045,2935,2812,5498,4322,400,6175,5770,10534,2243,0,5194,3740,2950,32806,1577,2608,3993,5012,1890,3035,1452,3476,8509,14697,8378,3653,11115,4991,3999,3110,5770,11985,2623,10335,1925,2719,8077,5025,8386,3738,9104,10685,3764,1195,2989,2369,19675,5623,2383,8517,3454,1754,4120,5312,1989,2559,3999,5617,5448,7309,4577,7072,4074
