BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Englewood,1745 W. 63rd St.,Chicago,60636,2038,2281,2754,2423,2872,3403,2924,4282,2708,3534,3277,2499,34995,POINT (-87.66852 41.77939),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Lawn,4020 W. 63rd St.,Chicago,60629,1030,1345,2505,2815,2744,3798,4384,4067,3307,3516,3431,3531,36473,POINT (-87.72384 41.77866),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Loop,122 N. Aberdeen St.,Chicago,60607,2514,3085,4329,4306,4206,4264,4639,4826,4645,5246,5030,4047,51137,POINT (-87.65441 41.88377),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Pullman,830 W. 119th St.,Chicago,60643,1216,944,1175,1734,1803,2282,1807,2090,2023,2377,6051,235,23737,POINT (-87.64311 41.6778),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Town,1625 W. Chicago Ave.,Chicago,60622,3402,4726,5947,5530,4300,6246,6644,6767,5888,6537,6620,5791,68398,POINT (-87.66849 41.8956),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1830,2462,3014,3406,3464,4946,3809,4064,4172,4579,4319,3511,43576,POINT (-87.61425 41.75111),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,3655,4516,3918,6239,5610,5815,6183,5996,5305,5491,4986,3678,61392,POINT (-87.64312 41.72056),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1417,1164,1631,1874,1817,3609,1048,1401,2117,5210,6950,1410,29648,POINT (-87.70209 41.73837),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRANCH,Albany Park,Altgeld,Archer Heights,Austin,Austin-Irving,Avalon,Back of the Yards,Beverly,Bezazian,Blackstone,Brainerd,Brighton Park,Bucktown-Wicker Park,Budlong Woods,Canaryville,Chicago Bee,Chicago Lawn,Chinatown,Clearing,Coleman,"Daley, Richard J.","Daley, Richard M.",Douglass,Dunning,Edgebrook,Edgewater,Gage Park,Galewood-Mont Clare,Garfield Ridge,Greater Grand Crossing,Hall,Harold Washtington Library Center,Hegewisch,Humboldt Park,Independence,Jefferson Park,Jeffery Manor,Kelly,King,Legler Regional,Lincoln Belmont,Lincoln Park,Little Italy,Little Village,Logan Square,Lozano,Manning,Mayfair,McKinley Park,Merlo,Mount Greenwood,Near North,North Austin,North Pulaski,Northtown,Oriole Park,Portage-Cragin,Pullman,Roden,Rogers Park,Scottsdale,Sherman Park,South Chicago,South Shore,Sulzer Regional Library,Thurgood Marshall,Toman,Uptown,Vodak-East Side,Walker,Water Works,West Belmont,West Chicago Avenue,West Englewood,West Lawn,West Loop,West Pullman,West Town,"Whitney M. Young, Jr.",Woodson Regional Library,Wrightwood-Ashburn
JANUARY,3419,339,2949,2991,3101,2985,1440,1709,0,3491,617,1250,5015,5058,0,512,2444,2963,1505,3059,2480,6556,435,4240,3693,7563,0,0,2594,837,0,39287,1165,2527,2412,2656,2002,497,1209,477,2888,4915,2801,1270,7285,3634,0,1302,368,4605,1400,4771,1072,1669,5957,3528,2301,1558,2759,4179,1856,1420,768,1066,13873,2094,1371,4948,2007,521,0,1954,608,2038,1030,2514,1216,3402,1830,3655,1417
FEBRUARY,6208,822,2360,2312,3642,4007,1689,1943,5133,5724,536,1727,5954,5714,1427,900,2794,6955,918,1540,0,4072,1100,5603,4302,3509,911,0,2929,977,2213,50081,1194,2725,2684,3140,863,1461,1080,2056,843,6552,5665,1348,8572,2311,2701,1552,3624,7379,1478,5815,1337,2052,6137,4252,3072,1705,3073,7092,2867,1409,3114,1178,15111,2577,1163,5325,2718,670,2774,2396,808,2281,1345,3085,944,4726,2462,4516,1164
MARCH,8004,3378,3250,3410,4957,4777,2689,1403,6393,7464,995,2959,7115,7070,1854,1002,3927,11013,1290,4054,0,3827,1456,6706,5447,8040,1586,0,4083,1447,2716,64622,1552,3753,3171,4490,1226,2781,1639,3315,0,8399,8196,1896,10957,3021,3653,1980,4731,10016,1936,4707,1895,2283,8619,5458,3987,2575,4268,8908,3325,1846,3980,1575,19899,3050,1669,6378,3749,1255,4298,3035,1207,2754,2505,4329,1175,5947,3014,3918,1631
