BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Englewood,1745 W. 63rd St.,Chicago,60636,2038,1657,2047,1947,2211,2225,2467,3104,2958,3021,2759,2471,28905,POINT (-87.66821 41.779364),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Lawn,4020 W. 63rd St.,Chicago,60629,1030,914,1363,1406,1307,699,0,0,0,0,0,0,6719,POINT (-87.723756 41.778629),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Loop,122 N. Aberdeen St.,Chicago,60607,2514,2322,2685,2823,2728,2675,3442,3423,3346,3629,3569,3237,36393,POINT (-87.654421 41.883595),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Pullman,830 W. 119th St.,Chicago,60643,883,990,1872,1445,1490,1471,1645,1470,1203,1243,1098,1122,15932,POINT (-87.643327 41.677819),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Town,1625 W. Chicago Ave.,Chicago,60622,3402,2938,3580,3627,4617,4973,4058,2096,2969,6183,5076,4759,48278,POINT (-87.668233 41.89606),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1830,1515,1921,2215,2311,2436,1639,3665,3651,2854,3016,3113,30166,POINT (-87.61416 41.751132),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,3655,3446,5049,6815,3638,3144,5060,5636,5256,5312,4550,4426,55987,POINT (-87.643122 41.720675),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1417,0,0,734,908,1223,1435,1299,1279,1440,1316,1223,12274,POINT (-87.702091 41.738331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRANCH,Albany Park,Altgeld,Archer Heights,Austin,Austin-Irving,Avalon,Back of the Yards,Beverly,Bezazian,Blackstone,Brainerd,Brighton Park,Bucktown-Wicker Park,Budlong Woods,Canaryville,Chicago Bee,Chicago Lawn,Chinatown,Clearing,Coleman,"Daley, Richard J.","Daley, Richard M.",Douglass,Dunning,Edgebrook,Edgewater,Gage Park,Galewood-Mont Clare,Garfield Ridge,Greater Grand Crossing,Hall,Harold Washtington Library Center,Hegewisch,Humboldt Park,Independence,Jefferson Park,Jeffery Manor,Kelly,King,Legler Regional,Lincoln Belmont,Lincoln Park,Little Italy,Little Village,Logan Square,Lozano,Manning,Mayfair,McKinley Park,Merlo,Mount Greenwood,Near North,North Austin,North Pulaski,Northtown,Oriole Park,Portage-Cragin,Pullman,Roden,Rogers Park,Scottsdale,Sherman Park,South Chicago,South Shore,Sulzer Regional Library,Thurgood Marshall,Toman,Uptown,Vodak-East Side,Walker,Water Works,West Belmont,West Chicago Avenue,West Englewood,West Lawn,West Loop,West Pullman,West Town,"Whitney M. Young, Jr.",Woodson Regional Library,Wrightwood-Ashburn
JANUARY,3419,339,2949,2991,3101,2985,1440,1709,0,3491,617,1250,5015,5058,0,496,2444,2963,440,3059,2480,6556,435,4240,3693,7563,0,0,2594,837,0,39287,1165,2527,2412,2656,2002,497,1209,477,2888,4915,2801,967,7285,3634,0,1302,368,4605,1400,4771,1072,1669,5957,3528,2301,1558,2759,4179,1856,1420,768,1066,13873,2094,1371,4948,2007,325,0,1954,330,2038,1030,2514,883,3402,1830,3655,1417
FEBRUARY,3366,270,2857,2412,3072,2513,1482,1221,0,2572,815,1004,4257,4386,0,488,2207,2583,380,2538,2162,6016,326,3646,3427,6508,0,0,2330,954,704,36109,1081,1962,2172,2338,1747,428,1101,359,3225,4435,2488,1030,6269,4546,0,1061,2793,5611,1162,4786,868,1425,5228,2912,1971,1676,2471,4718,2117,1264,1726,868,12812,2043,1155,3901,2769,457,0,1675,490,1657,914,2322,990,2938,1515,3446,0
MARCH,4404,412,3310,3799,4830,4235,2382,1741,1629,4279,1160,1515,4969,5771,0,595,3018,4102,1100,2316,2959,6788,484,4945,4527,7403,0,0,3215,1097,1629,43918,1450,2634,2554,3901,2367,635,1481,424,5433,5858,811,1158,7746,3215,0,1682,3784,6347,1583,6168,1262,2190,7482,3868,2789,835,2950,6600,1625,1699,1866,1155,16196,2695,1856,4675,2370,704,0,2323,667,2047,1363,2685,1872,3580,1921,5049,0
APRIL,4299,470,3325,2957,3651,3864,1491,2081,4587,4316,129,1418,5355,5662,0,653,2960,6748,525,3029,3141,5320,548,5441,4316,7607,0,0,2816,1137,1662,38621,1507,2570,2486,5630,2425,587,1474,629,5369,5630,2835,1058,7003,3959,0,1566,3621,6577,1532,6179,1249,1923,6957,3563,2645,889,2866,5291,1598,1644,2294,1514,14320,2698,1554,5357,2357,707,0,2153,618,1947,1406,2823,1445,3627,2215,6815,734
